doc_id,entity_id,source,file,llm_name,llm_inn,llm_kpp,edo_shortname,edo_inn,edo_kpp,inn_status,kpp_status,name_status
1,d089593d-a1c8-44bb-8487-c9ff12f0c275,tables,d089593d-a1c8-44bb-8487-c9ff12f0c275.23_Счет на оплату № 1 от 31 января 2028 г.pdf,"ООО ""ГРАНД ВЭЙ""",2635219430,263401001,"ООО ""ГРАНД ВЭЙ""",2635219430,263501001,match,mismatch,match
6,766f8e0a-a3ed-41c6-895a-98473ebdeeb6,tables,766f8e0a-a3ed-41c6-895a-98473ebdeeb6.28_Счет на оплату № 6 от 30 июня 2028 г.pdf,"ООО ""ГРАНД ВЭЙ""",2635219430,263401001,"ООО ""ГРАНД ВЭЙ""",2635219430,263501001,match,mismatch,match
18,faef1bd6-78c0-407c-b4e4-ad7abe703b72,tables,faef1bd6-78c0-407c-b4e4-ad7abe703b72.ЭМ_51-51 Билайн_офисы. ОП Барнаул. Февраль 2026 - Акт.pdf,"ООО ""ЭКОМАКС""",,,"ООО ""ЭМ""",5404083146,540401001,llm_missing,llm_missing,mismatch
25,285907ba-7975-4f7f-be18-8d18089c7e68,tables,285907ba-7975-4f7f-be18-8d18089c7e68.ЗАК342-Д24442_ВК-ЛКСП-24_65_TV_26151292 Счет № 260609-003 от 09.06.2026.pdf,"Общество с ограниченной ответственностью ""Лайон Коммьюникейшнз""",7722000000,,"ООО ""ЛАЙОН КОММЬЮНИКЕЙШНЗ""",7743068844,771401001,mismatch,llm_missing,match
28,bed2191c-fe58-47e6-9299-bd7fd0b5b8f0,tables,bed2191c-fe58-47e6-9299-bd7fd0b5b8f0.КС-2 №230 от 13.03.2026.pdf,"ООО ""ФОРТ-КОНТРОЛЬ""",7726059094,772601001,"ООО ""ФОРТ-КОНТРОЛЬ""",5040125816,504001001,mismatch,mismatch,match
36,83c7997f-9799-4726-9687-09ef8054fe72,tables,83c7997f-9799-4726-9687-09ef8054fe72.Авансовый счет от 01.06.2026 по договору 090106.pdf,Акционерное общество «Читаэнергосбыт»,7536066430,753601001,"АО ""Читаэнергосбыт""",7536066430,775050001,match,mismatch,match
38,09db4bc8-b5a6-4d21-8413-eb1e79158f02,tables,09db4bc8-b5a6-4d21-8413-eb1e79158f02.Вымпелком_счёт_420369.pdf,"ОАО ""РЖД""",7708503727,997650001,Центральная станция связи ОАО «РЖД»,7708503727,771843001,match,mismatch,mismatch
47,b94def2e-3e74-470c-86c4-504a9526aa1b,tables,b94def2e-3e74-470c-86c4-504a9526aa1b.Акт об оказании услуг № 96 от 22 апреля 2026 г.pdf,ИП Лысов А. С.,370259634920,,Лысов Александр Сергеевич,370259634920,,match,both_missing,mismatch
51,e753b140-7d52-49c6-8c86-823d543c45c3,tables,e753b140-7d52-49c6-8c86-823d543c45c3.ЭМ_52-52 Билайн_офисы. ОП Кемерово. Февраль 2026 - Акт.pdf,"ООО ""ЭКОМАКС""",,,"ООО ""ЭМ""",5404083146,540401001,llm_missing,llm_missing,mismatch
52,461b1ccb-fafd-4c4a-8e8f-85cdc1121ada,tables,461b1ccb-fafd-4c4a-8e8f-85cdc1121ada.КС-2 №526 от 15.05.2026.pdf,"ООО ""ФОРТ-КОНТРОЛЬ""",7722059000,772201001,"ООО ""ФОРТ-КОНТРОЛЬ""",5040125816,504001001,mismatch,mismatch,match
53,befc8b02-3a52-4815-a036-c16f3bae9fae,tables,befc8b02-3a52-4815-a036-c16f3bae9fae.2976_(2).pdf,"ООО ""ПРАЙМ ГРУП""",7713076301,997750001,"ООО ""ПРАЙМ ГРУП""",5405385728,540701001,mismatch,mismatch,match
61,f0e3cba6-5fd9-4e34-8d13-568773a611e0,tables,"f0e3cba6-5fd9-4e34-8d13-568773a611e0.БС 20676 АКТ №  демонтажа, экспертизы и возврата оборудования и материалов.pdf","ЗАО ""ГК ""ЛогЛаб""",,,"ООО ""ПАРИТЕТ""",5029254550,504401001,llm_missing,llm_missing,mismatch
67,960f667a-0a69-46a8-93f1-8d52cb241ac4,tables,960f667a-0a69-46a8-93f1-8d52cb241ac4.Акт сверки без видов задолж-ти (Основное потребление)_7713076301_202603.pdf,"Акционерное Общество ""Дальневосточная генерирующая компания"", АО ""ДГК""",1434031363,143401001,"АО ""ДГК""",1434031363,272101001,match,mismatch,match
87,94a39eb4-0cac-4a9c-82ee-b73dfa1b5a62,tables,94a39eb4-0cac-4a9c-82ee-b73dfa1b5a62.SF9100191004.pdf,УРАЛЬСКИЙ БАНК,,,"Уральский филиал ПАО ""МегаФон"".",7812014560,667003001,llm_missing,llm_missing,mismatch
88,9002323c-9d9d-4c54-bb73-56dd6205e72e,tables,9002323c-9d9d-4c54-bb73-56dd6205e72e.Счет № 907475 - 1 от 31.12.2025.pdf,"Публичное акционерное общество ""Мобильные ТелеСистемы""",7740000076,997750001,"ПАО ""МТС""",7740000076,997750001,match,match,mismatch
91,835d8c46-e6e3-4cf1-8e51-fa0f5a93e1f2,tables,835d8c46-e6e3-4cf1-8e51-fa0f5a93e1f2.Счет № 908495 - 1 от 31.12.2025.pdf,"Публичное акционерное общество ""Мобильные ТелеСистемы""",7740000076,997750001,"ПАО ""МТС""",7740000076,997750001,match,match,mismatch
92,56b64a7e-80f2-4fe8-8989-1eaf0946a028,tables,56b64a7e-80f2-4fe8-8989-1eaf0946a028.900700895697_CDTP_2_30.04.2026.pdf,ПАО «Ростелеком»,7707049388,434543001,"Нижегородский филиал ПАО ""Ростелеком"" (Волга)",7707049388,526043002,match,mismatch,match
95,e541e3ed-1e9c-4d44-8158-7ad942cb7b83,tables,e541e3ed-1e9c-4d44-8158-7ad942cb7b83.Счет на оплату № 489 от 23 апреля 2026 г.PDF,"ООО ""Индустрия XXI""",7719652350,772901001,"ООО ""ИНДУСТРИЯ ХХI""",7719652350,772901001,match,match,mismatch
96,bf21718d-77f0-40e0-a68c-3ecdb90388ec,tables,bf21718d-77f0-40e0-a68c-3ecdb90388ec.Счет_9e6bf96c-16b7-48c5-b6b2-2bfe00b7608a.pdf,"ООО ""КОМУС""",7721793895,781145001,"ООО ""КОМУС""",7721793895,997350001,match,mismatch,match
99,b77351c4-f55f-4b62-9e3d-400732866348,tables,b77351c4-f55f-4b62-9e3d-400732866348.Счет_42d51db1-66b4-4a95-8176-d45a19b07052.pdf,"ООО ""КОМУС""",7721793895,541045001,"ООО ""КОМУС""",7721793895,997350001,match,mismatch,match
