id,theme,similarity,subject_text
11,9,0.87650454,Электроэнергия за январь 2026 г. [вид:услуга; ед:кВт]
17,4,0.8436272,Ремонтно-наладочные работы на объекте ПАО ВымпелКом согласно договора Д25739/ТО СОП_ИБГ от 04.07.2025 [вид:услуга; ед:шт]
45,26,0.8640521,Возмещение затрат за электроэнергию (п. Приисковый ) дог.№ б/н-63 от 19.06.2014г за апрель 2026 г. [вид:услуга; ед:кВт]
46,20,0.81118613,"Модуль оптический SFP Ethernet 1G, длина волны 1310 nm, прогон 20 km, 1 Gbps, SM, разъем LC, с поддержкой мониторинга DDM, индустриальный, NK|БАЗИС ТЕЛЕКОМ||BZ-SFP-1G-LX-20-I-(NK)|| [вид:имущество; ед:Штуки]"
52,11,0.90846825,"Проведение работ по монтажу, замене и переносу оборудования [ед:Километр]"
56,10,0.92244613,Услуга по обеспечению технической возможности предоставления услуг связи по договору №06-13 от 31.03.2013г. за февраль 2026 г. [вид:услуга]
63,19,0.8669163,Арендная плата по договору D25S00248161 от 25.12.2025 г. за Апрель 2023 г. [ед:штука]
64,3,0.856933,"Выполнение работ согл. договора № Д2547 от 03.02.2025г., технический акт по аварийно-восстановительным работам № KMR-2603-AVR-1615-43 от 31.03.2026г. за МАРТ 2026г. [вид:услуга]"
65,10,0.88686544,"Услуги связи, предоставленные за 04.2026 г. [вид:услуга; ед:-]"
66,23,0.83372486,"Переменная плата по компенсации расходов по оплате потребленной электроэнергии в связи с использованием обеъкта г.Анапа, просп.Пионерский, в районе дома № 253-9 согласно договора 25346135 от 30.09.2025 за май 2026 г. [вид:услуга; ед:кВт.ч]"
71,26,0.86816525,коммунальные услуги за 01.2026 [ед:мес] | электроснабжение за 01.2026 [ед:мес]
75,26,0.8557472,Возмещение затрат на электроэнергию по договору аренды № 23-04091 от 14.08.2017г за февраль 2026 г. [вид:услуга; ед:шт]
86,9,0.88493633,Потребление эл. энергии на основании Договора №01-МегаФон/2020 от 29.12.2020 г. за ЯНВАРЬ 2026
87,9,0.88493633,Потребление эл. энергии на основании Договора №01-МегаФон/2020 от 29.12.2020 г. за ДЕКАБРЬ 2025
88,9,0.88493633,Потребление эл. энергии на основании Договора №01-МегаФон/2020 от 29.12.2020 г. за ЯНВАРЬ 2026
89,9,0.88493633,Потребление эл. энергии на основании Договора №01-МегаФон/2020 от 29.12.2020 г. за ДЕКАБРЬ 2025
107,19,0.8704789,Присоединение и пропуск трафика местного уровня в апреле 2026. [ед:шт]
111,26,0.8610835,Вознаграждение за январь 2026г. по договору о сотрудничестве и взаимодействии по предоставлению телекоммуникационных услуг № Р5276 от 13.10.2015 г. [вид:услуга]
112,26,0.8610835,Вознаграждение за январь 2026г. по договору о сотрудничестве и взаимодействии по предоставлению телекоммуникационных услуг № Р5276 от 13.10.2015 г. [вид:услуга]
115,10,0.9534708,Услуги связи за декабрь 2025 г. [вид:услуга; ед:мес]
128,3,0.8764914,Выполнение работ по капитальному ремонту участка автомобильной дороги регионального значения (с целью установки АПВГК) Элиста-Арзгир-Минеральные Воды [вид:услуга]
138,11,0.90846825,"Проведение работ по монтажу, замене и переносу оборудования [ед:Километр]"
140,11,0.90563774,Предоставление доступа по размещению и обслуживанию оборудования (в многоквартирные дома) [вид:услуга; ед:шт]
141,26,0.85731435,"Возмещение стоимости электроэнергии по адресу: г.Воронеж, ул.Мордасовой,ЗУ № 2 а., согласно ДС 10 к Договору 1 от 19.05.2023 г.за март 2026 [ед:кВт.ч]"
152,11,0.90758854,"Проведение работ по монтажу, замене и переносу оборудования [ед:Штука]"
164,9,0.86726046,вознаграждение по договору FT930 08.11.2006 за март 2026 г [вид:услуга; ед:мес]
165,0,0.8368162,"Арендная плата за размещение оборудования за Май 2026г. на БС 31886 ЛипО_Усмань_Успенского, расположенной по адресу: Липецкая обл., Усмань г., Заводская ул. (в кадастровом квартале 48:16:0470150), согласно ДС 11 от 11.07.2023 г .к Дог. 2023-ВЛГ-СИИ от 17.02.2023 г. [вид:услуга]"
167,11,0.914386,"Проведение работ по монтажу, замене и переносу оборудования [ед:Объект]"
170,9,0.865674,Возмещение затрат за электроэнергию за период март 2026 г [ед:кВт.ч]
193,0,0.84477645,Возмещение затрат по эл/энергии согласно показаниям прибора учета электроэнергии Олекминск согласно договору 106/096-Д/23 от 28.12.2023 за период Февраль 2026 г. [вид:услуга; ед:кВт.ч]
217,0,0.8343299,Оплата лицензии за использование ПО по Договору № 22300540 от 15.11.2022 г. за май 2026 г.
220,23,0.842034,"Предоставление доступа к Услуге, Россия, Татарстан Респ, Нижнекамский р-н, Нижнекамск г, Мира пр-кт, 105 а ДОМ, 0 ком. [ед:Штук]"
225,5,0.8406824,"Возмещение электроэнергии на АМС по адресу Иркутская обл, Ольхонский р-н, д. Харанцы за февраль 2026 г [вид:услуга; ед:кВт.ч]"
236,10,0.895434,Услуги управления за апрель 2026 г. [вид:услуга; ед:шт]
264,10,0.9948283,Услуги связи (Договор № 153535254 от 23.10.2017) за период с 01.04.2026 по 30.04.2026
265,10,0.9948283,Услуги связи (Договор № 153535254 от 23.10.2017) за период с 01.04.2026 по 30.04.2026
270,25,0.8247882,"марка ТХ (Технологические решения) [ед:за марку] | марка ЭС (Электроснабжение) [ед:за марку] | Оформление (включая проведение необходимых измерений) и предоставление Заказчику комплектов исполнительной и отчетной документации на объект Базовую станцию в соответствии с Общими техническими условиями на базовую станцию и Процедурой технической приемки БС. [ед:за полный комплект] | Компенсации повышенных транспортных расходов на доставку оборудования и материалов на объекты, находящиеся на удалении свыше 100 км. [ед:за 1 км] | Демонтаж для пункта 3.1.12 Монтаж цифровой платы в системный блок Базовой станции [ед:за плату]"
274,9,0.8894414,Потребление электроэнергии по договору № 3С от 01 января 2021 г. за апрель 2026 г. [вид:услуга; ед:мес.]
277,4,0.85298103,Выполненные работы (АЭ) за период с 01.04.2026 по 30.04.2026 к договору №Д25503/ЮСТК-ТО-БС-ЮГ-2025 от 21.05.2025 г. [вид:услуга; ед:Услуга]
306,5,0.8257935,"Коммунальные услуги по Агентскому договору №2 от 01.03.2014г., по адресу: г.Мончегорск, пр-т Металлургов д.32 за май 2026г. [вид:услуга; ед:мес]"
311,19,0.84840345,Переменная часть за февраль 2026 г. [вид:услуга; ед:шт]
335,11,0.90846825,"Проведение работ по монтажу, замене и переносу оборудования [ед:Километр]"
339,7,0.956545,Аренда помещения за февраль 2026 г. [вид:услуга; ед:мес]
368,1,0.8518806,Услуга по обращению с твердыми коммунальными отходами за апрель 2026 г. по договору № 0101/00542 от 30.07.2017 [вид:услуга; ед:м3]
371,0,0.8316962,Предоставление в аренду Используемых элементов Объекта по Омской области за Апрель 2026 г. по дог. VK-PLR/2023 от 05.10.2023 (×2)
374,0,0.8333762,Предоставление в аренду Используемых элементов Объекта по Смоленской области за Февраль 2026 г. по дог. VK-PLR/2023 от 05.10.2023
377,7,0.96467304,Аренда помещений Аренда помещений за Апрель 2026 г. [вид:услуга; ед:мес]
379,11,0.9076842,"Проведение работ по монтажу, замене и переносу оборудования [ед:Штука]"
381,20,0.8354795,"Тестирование и сдача Интернет каналов при скорости каналов от 300Mbps до 1Gbps (услуга 901, услуга 041, 941, услуга 040, 942) [ед:Штука] | Установка SFP, SFP+, xFP модуля [ед:Штука] | Монтаж проводного оборудования доступа и пассивного оборудования. Ethernet коммутатор, (Catalyst 29хх, Huawei 3328, аналоги); маршрутизатор (CISCO-8xx 17xx 18xx, 26xx, 28xx, аналоги.); конвертор интерфейсов (свыше 8 портов); мультиплексор (свыше 8 портов); [ед:Штука] | Программирование, пуско-наладка проводного оборудования доступа. Ethernet коммутатор, (Catalyst 29хх, Huawei 3328, аналоги); маршрутизатор (CISCO-8xx 17xx 18xx, 26xx, 28xx, аналоги.); конвертор интерфейсов (свыше 8 портов); мультиплексор (свыше 8 портов); VOIP-шлюз (свыше 8 портов); [ед:Штука] | Прокладка волоконно-оптического кабеля емкостью до 32 ОВ в подготовленные трассы [ед:Метр]"
382,20,0.81459653,"Модуль электрический SFP Ethernet 1G, прогон 0,1 km, 1 Gbps, разъем RJ-45, индустриальный, CS|БАЗИС ТЕЛЕКОМ||BZ-SFP-1G-T-I-(CS)||"
398,0,0.828602,Возмещение расходов за потреблённую электрическую энергию за февраль 2026 г. [вид:услуга; ед:кВт.ч] | Возмещение расходов за предоставленные мощности за февраль 2026 г. [вид:услуга; ед:кВт]
432,23,0.86202157,"Размещение приемо-передающего оборудования сотовой радиотелефонной связи, размещение антенно-фидерных устройств за Январь 2026г. Договор №БСУ-762 от 12.12.2014 [вид:услуга; ед:мес]"
435,9,0.8698153,Электроэнергия за февраль-май 2026 г. [вид:услуга; ед:кВт.ч]
443,7,0.948755,Аренда нежилого помещения по договору № 432/СА/2014 от 23.04.2014 за январь 2026 г. [вид:услуга; ед:мес]
451,25,0.8247882,"марка ТХ (Технологические решения) [ед:за марку] | марка ЭС (Электроснабжение) [ед:за марку] | Оформление (включая проведение необходимых измерений) и предоставление Заказчику комплектов исполнительной и отчетной документации на объект Базовую станцию в соответствии с Общими техническими условиями на базовую станцию и Процедурой технической приемки БС. [ед:за полный комплект] | Компенсации повышенных транспортных расходов на доставку оборудования и материалов на объекты, находящиеся на удалении свыше 100 км. [ед:за 1 км] | Демонтаж для пункта 3.1.12 Монтаж цифровой платы в системный блок Базовой станции [ед:за плату]"
454,8,0.81202257,Поисковые объявления в рекламной системе Яндекс Директ за март 2026 г. [вид:услуга] | Услуги «Яндекс.Директ» за март 2026 г. [вид:услуга]
