group,file,llm_topic,theme_id,top_words
pdf_text,512f2e96-ba18-4d68-8641-aa38b067ab30.40472_ТХ_522667_v1.pdf,Рабочая документация на создание базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,766366d9-598e-4005-9add-c52de8177e0f.А1 93390 СОЧ_Ахштырь-Кропоткинская 6Б - ТХ.pdf,Рабочая документация для сотовой связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,f9973c99-2fcd-48d4-b020-2bfc5a23216a.Vympelkom.pdf,Уведомление об увеличении платы за услуги,-1,
pdf_text,610c1d26-9ad7-45ca-ba33-f2593341c473.ЭС_74074 Крылосово_V2.pdf,Рабочая документация по созданию базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,ad780e41-8111-4f27-9f35-ed287f6c1dc5.28522_ftk_ТХ_v2.pdf,Рабочая документация на создание базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,6b8fd042-a082-4668-8e58-4fd8c6299866.СИ-2025-46107-ЭС.pdf,Рабочая документация по электрооборудованию,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,d3f94a43-d0a9-4865-bc6d-61762d1a84e9.52170 СртО_СНТ Кристалл АС v1.pdf,Строительство базовой станции сотовой связи,3,"станции сотовой, станции, сотовой связи, сотовой, базовой станции, базовой, связи, строительство базовой"
pdf_text,9efdcb93-4b78-47d7-ac4d-a3d40557d43f.РЦ-ИСХ-3386 от 19.02.26 КА ДС2 к ЕДР-1482 ВК Удм.pdf,Дополнительное соглашение к договору,-1,
pdf_text,"038ff26e-a501-403d-8282-e063721dc852.(4) 10923 СП_Шушары, Нины Петровой, 6к1 ОВ 2026.06.25 v1.pdf",Рабочая документация по отоплению и вентиляции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,d2cde700-feef-4b69-8008-ebcfc1910e4d.Foster_Invoice_2BM-7713076301-2012052807251168061080000000000_2BM-7826156685-783801001-201401201117022305126_20260408_adbbbf07-9d9e-40a7-89c9-6566a2ceecdf.pdf,Экспедиторская расписка на доставку груза,-1,
pdf_text,0d03dadd-6af3-4b50-a4d9-920993f29607.ТХ 66134 Дубовская v1 Model (1).pdf,Рабочая документация по базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,d4a51b6b-49e4-4ebd-b421-41d653cc2521.ЭС - 58894 ПнзО_Александровка_Мазуркова.pdf,Строительство базовой станции сотовой связи,3,"станции сотовой, станции, сотовой связи, сотовой, базовой станции, базовой, связи, строительство базовой"
pdf_text,96fafd09-6b48-47a3-b003-66146fa3ecb6.АПП г_Подольск__ул_Свердлова__д_26.pdf,Акт передачи объекта строительства,0,"акт, оборудования, приема, акт приема, оборудования акт, передачи, приема передачи, передачи оборудования"
pdf_text,ec6a4a8f-1529-45af-aebe-7d5cc3637ee8.2 АС 16482 ЛО-Плоткина Пилар.pdf,Рабочая документация сотовой связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,18245349-a679-49d5-88ca-b985d98814cc.06.S0M1555 Куровское_Альбом РРС v1.pdf,Рабочая документация на модернизацию узла связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,ec9fbdc3-58cd-45e8-afa7-51cacdd579d2.Proforma_Invoice_2BM-7713076301-2012052807251168061080000000000_2BM-7826156685-783801001-201401201117022305126_20260407_b80ac67a-013e-4605-9070-c7e16db7f343.pdf,Счет на услуги доставки груза,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_text,502fda49-2529-471d-8977-28d6f9422626.ИД 50683 БшкР_Аскарово_Сальманова.pdf,Исполнительная документация на строительство базовой станции,-1,
pdf_text,ec101500-0315-4e34-b167-f091200601e8.Счет № 1000000698147 - 7382832083 от 28.02.2026.pdf,Счёт за услуги связи МТС за февраль 2026,-1,
pdf_text,8f153bbd-3c32-49ed-bc91-7e57c6e455d2.Уведомление.pdf,Акт выполненных работ,-1,
pdf_text,8841626d-3535-45df-87bc-eadf9b0505a6.РС - 84512 Ытык-Кюель.pdf,Рабочая документация базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,77a7e8ba-c2fb-494a-a853-f4db92db5941.ТХ 40065 НсО_Дачи Академ-3_v2.pdf,Модернизация базовой станции сотовой связи,3,"станции сотовой, станции, сотовой связи, сотовой, базовой станции, базовой, связи, строительство базовой"
pdf_text,4d162ed7-a23c-426c-a782-2769a5e3e74b.РД БС_94204_РРС_v1.pdf,Рабочая документация радиорелейной связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,372c8752-7378-4878-a342-8d8e607e8373.543091345528_28.02.2026.pdf,Счёт-фактура МегаФон за период,-1,
pdf_text,e720c14a-04d6-4f8e-b48d-3f2e22842eaf.313095533259_31.12.2025.pdf,Счёт на оплату услуг МегаФон,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_text,bdc5fb42-7451-4e4e-be8d-35f87078c1f9.28042 СП.pdf,Рабочая документация по созданию базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,4d878806-d4bd-4a05-a6d8-374ffb10de97.67 Акт приема.pdf,Акт сдачи-приемки услуг по расклейке листовок,0,"акт, оборудования, приема, акт приема, оборудования акт, передачи, приема передачи, передачи оборудования"
pdf_text,e787eccb-56fc-44d2-a574-be16a69e04fa.Счет № 256362795175 - 6589487632 от 30.04.2026.pdf,Счёт за услуги связи за апрель 2026,-1,
pdf_text,d2512ddf-4800-4cfe-8ac8-e9cff84bcb3a.ТХ 74074 Крылосово_V6_.pdf,Рабочая документация по созданию базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,"640400e4-293a-4051-8522-5fd71bec7550.10555 СП_Стрельна, Константина Тимошинина 3с1 ЭС.pdf",Рабочая документация по электрооборудованию,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,0b4e2de6-c6e5-434a-8f34-9d3e06e5ee66.Отчет об оказанных услугах_3402029_2026-03_7713076301_165543001.pdf,Отчет о начислении услуг связи,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_text,2e9454ff-0d66-498e-94ca-3482f57b410e.81131-ID_521306_ХБР_ЖК Вершины-ЭС.pdf,Строительство базовой станции сотовой связи,3,"станции сотовой, станции, сотовой связи, сотовой, базовой станции, базовой, связи, строительство базовой"
pdf_text,35659860-168b-48e2-a65b-b448990dc494.40047_РД_506416_ЭС_v1.pdf,Рабочая документация по электроснабжению базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,378c0f1c-7a10-4b9e-b492-7cae2684ee46.Proforma_Invoice_2BM-7713076301-2012052807251168061080000000000_2BM-7826156685-783801001-201401201117022305126_20260629_df59dd8c-5768-4322-967e-3f238d04bb61.pdf,Счет на услуги доставки груза,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_text,b735b854-ea0b-4cae-b142-59f676d34638.ТХ 93123 КдК_Кущёвская-Верхняя 40 ОДН ПБК.pdf,Рабочая документация базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,626dcd72-d6b4-40f1-b674-6497dc816025.40231_РД_512493_РРС1_v1.pdf,Модернизация узла связи,-1,
pdf_text,c5051eb3-e0d3-4702-8845-b7b144e3e9ee.Уведомление об изменении адреса юридического лица.pdf,Уведомление об изменении адреса,-1,
pdf_text,720347a0-0043-47ba-aa2b-30ad1493b776.Foster_Invoice_2BM-7713076301-2012052807251168061080000000000_2BM-7826156685-783801001-201401201117022305126_20260623_0fa9ee22-8d10-420f-8dab-2db93fd2d16b.pdf,Экспедиторская расписка на доставку груза,-1,
pdf_text,1aecab8b-27ba-4fb4-bcfa-2656597cc61f.Уведомление о просроченной задоженности по договору № 12-12-11-08.pdf,Уведомление о задолженности по услугам,-1,
pdf_text,5c6465fc-6996-440e-9743-5190deb111af.Уведомление2 вымпелком.pdf,Уведомление об изменении цены и НДС,-1,
pdf_text,23201b52-e689-4e83-aa44-83f9cead51cd.Тех.условия.pdf,Технические условия размещения линий связи,-1,
pdf_text,bca6ac08-cef3-411a-8b40-2ced63a03bcf.Красноярский край_РД_40784 КР_Урванцева 7_ТХ_v1.pdf,Рабочая документация базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,4c74d41f-6cc7-4c1b-b198-0c3f73e9f528.35117 Харасея 83А-ОДН РРС1 v1.pdf,Рабочая документация радиорелейной связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,f7aad637-eea7-4f9e-883e-35a1817dc663.Барнаул_РД_41382 Алтай Виладж 2_КМ.pdf,Базовая станция Алтай Вилладж,-1,
pdf_text,98fb9748-159d-45ab-9233-85e28da105c4.01.16098 Большая Черкизовская 2к2_Альбом СП v1.pdf,Рабочая документация на создание базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,a43cc6a6-7026-4ed4-8f22-87084aedd7f1.Истекает срок оплаты счета_735108296_18.02.2026.pdf,Напоминание об оплате счёта МегаФон,-1,
pdf_text,c8f2b311-1d0c-4544-90f2-319f639001f9.ТУ 02.2026 ЮРЭС Нестеров ВК к ДС9.pdf,Технические условия размещения ВОЛС,-1,
pdf_text,519a06d5-73b2-4657-a2fc-d1b25de96e08.23081_Косково_ТХ_2.pdf,Строительство базовой станции сотовой связи,3,"станции сотовой, станции, сотовой связи, сотовой, базовой станции, базовой, связи, строительство базовой"
pdf_text,6fffc717-82ba-433c-ac19-2320c1b997e8.500028202937_31.05.2026.pdf,Счёт-фактура МегаФон за май 2026 года,-1,
pdf_text,66520a1c-6e0f-4ea5-9450-158e571e593f.РРС_50133_АсО_Восток-Молодежная 6_v1.pdf,Рабочая документация радиорелейной связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,053b596f-6ae5-4579-9748-bc1a3883934f.РРС1_2163_Новозавидовский_v1.pdf,Рабочая документация на модернизацию узла связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,f417b8ac-e2db-4513-817f-234529ba89e4.83295 РсО_Николаевский-Луговая 124-ОДН-РРС.pdf,Рабочая документация радиорелейной связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,8e9b5fd5-938f-412d-96f6-07b6bf38d67f.2026_04__UG8CT__256974.pdf,Статистика вознаграждения партнеру,-1,
pdf_text,f516efc1-39a6-49ea-b26f-7a690326e770.42-40088-АС v1.pdf,Рабочая документация базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,fa72acd5-ba6d-474f-b214-79aac3ba9200.ЭМ 50697 ВлгО_Фролово-Газоразведки 34-ОДН СоцИнтех.pdf,Рабочая документация по базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,497ba322-1df2-439c-ac56-0a3da3a754fc.Оферта №2674_М.pdf,Оферта на заключение договора,-1,
pdf_text,c5d9c98e-d542-465d-8be6-b77d8a01d1ff.50461_BshkR_Bishkain_АС_v1.pdf,Строительство базовой станции сотовой связи,3,"станции сотовой, станции, сотовой связи, сотовой, базовой станции, базовой, связи, строительство базовой"
pdf_text,85738d14-1cfd-48c4-a638-da163ca78afe.Foster_Invoice_2BM-7713076301-2012052807251168061080000000000_2BM-7826156685-783801001-201401201117022305126_20260415_be322c13-cebf-49fc-8982-1a7980a8b99f.pdf,Экспедиторская расписка на доставку груза,-1,
pdf_text,46dc1e98-13f8-4577-8e2f-3e9d89be8f8d.ОТР_26175_КсО_Подольское_v2.pdf,Модернизация базовой станции,-1,
pdf_text,aa680ea3-9085-4d64-96e0-6525ba43d5eb.13143 Геологов_GL9_ТХ.pdf,Рабочая документация базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
